claim_group_id,task_id,subject,group_kind,label,claim_count,agent_count,ess,q_bar,independence,core_trust,consensus_score,raw_score,challenge_approve,high_risk_action,high_risk_constraint_pass,decision,agent_weights,conflicts_with
G_T_0001_action_benign,T_0001,10.3.7.23,action,benign,1,1,0.834104,0.8909,0.8685,95.0,0.896368,0.645385,1,False,True,accepted,"[{""agent_id"": ""A_N_009"", ""base"": 0.8448, ""bss"": 0.0, ""weight"": 0.5452}]","[""G_T_0001_action_malicious""]"
G_T_0001_action_malicious,T_0001,10.3.7.23,action,malicious,1,1,0.804,0.3457,0.359,31.0,0.072246,0.052017,0,True,False,rejected,"[{""agent_id"": ""A_BYZ_008"", ""base"": 0.432, ""bss"": 0.478687, ""weight"": 0.0225}]","[""G_T_0001_action_benign""]"
G_T_0001_risk_benign,T_0001,10.3.7.23,risk,benign,3,3,0.833701,0.8909,0.8685,95.0,0.895936,0.645074,1,False,True,accepted,"[{""agent_id"": ""A_N_007"", ""base"": 0.92, ""bss"": 0.0, ""weight"": 0.5935}, {""agent_id"": ""A_N_008"", ""base"": 0.9888, ""bss"": 0.0, ""weight"": 0.6378}, {""agent_id"": ""A_N_010"", ""base"": 0.972, ""bss"": 0.0, ""weight"": 0.627}]","[""G_T_0001_risk_malicious""]"
G_T_0001_risk_malicious,T_0001,10.3.7.23,risk,malicious,5,5,0.606842,0.627333,0.596333,95.0,0.21973,0.158205,0,False,True,rejected,"[{""agent_id"": ""A_POISON_002"", ""base"": 0.65, ""bss"": 0.466458, ""weight"": 0.0787}, {""agent_id"": ""A_POISON_003"", ""base"": 0.7931, ""bss"": 0.2875, ""weight"": 0.1283}, {""agent_id"": ""A_BYZ_003"", ""base"": 0.43, ""bss"": 0.46155, ""weight"": 0.0526}, {""agent_id"": ""A_COMM_002"", ""base"": 0.87, ""bss"": 0.341667, ""weight"": 0.13}, {""agent_id"": ""A_WATCH_002"", ""base"": 0.6624, ""bss"": 0.008067, ""weight"": 0.1492}]","[""G_T_0001_risk_benign""]"
G_T_0002_action_malicious,T_0002,10.6.14.36,action,malicious,1,1,0.836828,0.85235,0.7945,85.0,0.787074,0.566694,1,True,False,rejected,"[{""agent_id"": ""A_N_015"", ""base"": 0.8544, ""bss"": 0.0, ""weight"": 0.4842}]","[""G_T_0002_action_benign""]"
G_T_0002_risk_malicious,T_0002,10.6.14.36,risk,malicious,4,4,0.763207,0.800433,0.723667,85.0,0.613358,0.441618,1,False,True,challenged,"[{""agent_id"": ""A_N_013"", ""base"": 0.86, ""bss"": 0.0, ""weight"": 0.3802}, {""agent_id"": ""A_N_014"", ""base"": 0.8858, ""bss"": 0.0, ""weight"": 0.3916}, {""agent_id"": ""A_N_016"", ""base"": 0.972, ""bss"": 0.0, ""weight"": 0.4297}, {""agent_id"": ""A_WATCH_003"", ""base"": 0.672, ""bss"": 0.005333, ""weight"": 0.2955}]","[""G_T_0002_risk_benign""]"
G_T_0002_risk_benign,T_0002,10.6.14.36,risk,benign,2,1,0.709668,0.51705,0.5265,63.0,0.14193,0.10219,0,False,True,rejected,"[{""agent_id"": ""A_POISON_004"", ""base"": 0.68, ""bss"": 0.471042, ""weight"": 0.0695}, {""agent_id"": ""A_POISON_004"", ""base"": 0.68, ""bss"": 0.471042, ""weight"": 0.0695}]","[""G_T_0002_risk_malicious""]"
G_T_0003_action_benign,T_0003,10.9.21.49,action,benign,1,1,0.893667,0.9204,0.91,91.0,1.0,0.748504,1,False,True,accepted,"[{""agent_id"": ""A_N_021"", ""base"": 0.8736, ""bss"": 0.0, ""weight"": 0.6539}]","[""G_T_0003_action_malicious""]"
G_T_0003_action_malicious,T_0003,10.9.21.49,action,malicious,1,1,0.686,0.3971,0.406,41.0,0.079992,0.057594,0,True,False,rejected,"[{""agent_id"": ""A_BYZ_004"", ""base"": 0.5472, ""bss"": 0.47925, ""weight"": 0.0315}]","[""G_T_0003_action_benign""]"
G_T_0003_risk_benign,T_0003,10.9.21.49,risk,benign,3,3,0.893556,0.9204,0.91,91.0,1.0,0.74841,1,False,True,accepted,"[{""agent_id"": ""A_N_019"", ""base"": 0.94, ""bss"": 0.0, ""weight"": 0.7035}, {""agent_id"": ""A_N_020"", ""base"": 0.9682, ""bss"": 0.0, ""weight"": 0.7246}, {""agent_id"": ""A_N_022"", ""base"": 1.0044, ""bss"": 0.0, ""weight"": 0.7517}]","[""G_T_0003_risk_malicious""]"
