claim_id,step,event_id,task_id,group_kind,claim_group_id,agent_id,receiver,claim_type,subject,object,label,confidence,validation_passed,conflict,created_at
C_00001,1,M_00001,T_0001,risk,G_T_0001_risk_benign,A_N_007,A_N_010,risk_judgment,10.3.7.23,benign_service,benign,0.881,1,1,2026-06-28T09:40:52+08:00
C_00002,2,M_00002,T_0001,risk,G_T_0001_risk_benign,A_N_008,A_N_010,risk_judgment,10.3.7.23,benign_service,benign,0.876,1,1,2026-06-28T09:40:52+08:00
C_00003,3,M_00003,T_0001,risk,G_T_0001_risk_benign,A_N_010,A_N_009,verification,10.3.7.23,benign_service,benign,0.955,1,1,2026-06-28T09:40:52+08:00
C_00004,4,M_00004,T_0001,action,G_T_0001_action_benign,A_N_009,A_N_010,action_recommendation,10.3.7.23,do_not_block,benign,0.771,1,1,2026-06-28T09:40:52+08:00
C_00005,5,M_00005,T_0001,risk,G_T_0001_risk_malicious,A_POISON_002,A_N_010,risk_judgment,10.3.7.23,C2,malicious,0.837,1,1,2026-06-28T09:40:52+08:00
C_00006,6,M_00006,T_0001,risk,G_T_0001_risk_malicious,A_POISON_003,A_N_009,risk_judgment,10.3.7.23,C2,malicious,0.827,1,1,2026-06-28T09:40:52+08:00
C_00007,7,M_00007,T_0001,risk,G_T_0001_risk_malicious,A_BYZ_003,A_N_010,risk_judgment,10.3.7.23,C2,malicious,0.947,1,1,2026-06-28T09:40:52+08:00
C_00008,8,M_00008,T_0001,action,G_T_0001_action_malicious,A_BYZ_008,A_N_010,action_recommendation,10.3.7.23,block_ip,malicious,0.966,0,1,2026-06-28T09:40:52+08:00
C_00009,9,M_00009,T_0001,risk,G_T_0001_risk_malicious,A_COMM_002,A_N_010,risk_judgment,10.3.7.23,C2,malicious,0.756,1,1,2026-06-28T09:40:52+08:00
C_00010,10,M_00010,T_0001,risk,G_T_0001_risk_malicious,A_WATCH_002,A_N_010,risk_judgment,10.3.7.23,C2,malicious,0.667,1,1,2026-06-28T09:40:53+08:00
C_00011,11,M_00011,T_0002,risk,G_T_0002_risk_malicious,A_N_013,A_N_016,risk_judgment,10.6.14.36,C2,malicious,0.945,1,1,2026-06-28T09:40:53+08:00
C_00012,12,M_00012,T_0002,risk,G_T_0002_risk_malicious,A_N_014,A_N_016,risk_judgment,10.6.14.36,C2,malicious,0.841,1,1,2026-06-28T09:40:53+08:00
C_00013,13,M_00013,T_0002,risk,G_T_0002_risk_malicious,A_N_016,A_N_015,verification,10.6.14.36,C2,malicious,0.911,1,1,2026-06-28T09:40:53+08:00
C_00014,14,M_00014,T_0002,action,G_T_0002_action_malicious,A_N_015,A_N_016,action_recommendation,10.6.14.36,block_ip,malicious,0.741,1,1,2026-06-28T09:40:53+08:00
C_00015,15,M_00015,T_0002,risk,G_T_0002_risk_benign,A_POISON_004,A_N_016,risk_judgment,10.6.14.36,benign_service,benign,0.864,1,1,2026-06-28T09:40:53+08:00
C_00016,16,M_00016,T_0002,risk,G_T_0002_risk_benign,A_POISON_004,A_N_015,risk_judgment,10.6.14.36,benign_service,benign,0.865,1,1,2026-06-28T09:40:53+08:00
C_00017,17,M_00017,T_0002,risk,G_T_0002_risk_benign,A_BYZ_007,A_N_016,risk_judgment,10.6.14.36,benign_service,benign,0.974,0,1,2026-06-28T09:40:53+08:00
C_00018,18,M_00018,T_0002,action,G_T_0002_action_benign,A_BYZ_002,A_N_016,action_recommendation,10.6.14.36,do_not_block,benign,0.931,1,1,2026-06-28T09:40:53+08:00
C_00019,19,M_00019,T_0002,risk,G_T_0002_risk_benign,A_COMM_003,A_N_016,risk_judgment,10.6.14.36,benign_service,benign,0.889,0,1,2026-06-28T09:40:54+08:00
C_00020,20,M_00020,T_0002,risk,G_T_0002_risk_malicious,A_WATCH_003,A_N_016,risk_judgment,10.6.14.36,C2,malicious,0.75,0,1,2026-06-28T09:40:54+08:00
C_00021,21,M_00021,T_0003,risk,G_T_0003_risk_benign,A_N_019,A_N_022,risk_judgment,10.9.21.49,benign_service,benign,0.844,1,1,2026-06-28T09:40:54+08:00
C_00022,22,M_00022,T_0003,risk,G_T_0003_risk_benign,A_N_020,A_N_022,risk_judgment,10.9.21.49,benign_service,benign,0.805,1,1,2026-06-28T09:40:54+08:00
C_00023,23,M_00023,T_0003,risk,G_T_0003_risk_benign,A_N_022,A_N_021,verification,10.9.21.49,benign_service,benign,0.898,1,1,2026-06-28T09:40:54+08:00
C_00024,24,M_00024,T_0003,action,G_T_0003_action_benign,A_N_021,A_N_022,action_recommendation,10.9.21.49,do_not_block,benign,0.797,1,1,2026-06-28T09:40:54+08:00
C_00025,25,M_00025,T_0003,risk,G_T_0003_risk_malicious,A_POISON_001,A_N_022,risk_judgment,10.9.21.49,C2,malicious,0.877,1,1,2026-06-28T09:40:54+08:00
C_00026,26,M_00026,T_0003,risk,G_T_0003_risk_malicious,A_POISON_005,A_N_021,risk_judgment,10.9.21.49,C2,malicious,0.829,1,1,2026-06-28T09:40:54+08:00
C_00027,27,M_00027,T_0003,risk,G_T_0003_risk_malicious,A_BYZ_001,A_N_022,risk_judgment,10.9.21.49,C2,malicious,0.954,0,1,2026-06-28T09:40:54+08:00
C_00028,28,M_00028,T_0003,action,G_T_0003_action_malicious,A_BYZ_004,A_N_022,action_recommendation,10.9.21.49,block_ip,malicious,0.934,0,1,2026-06-28T09:40:55+08:00
C_00029,29,M_00029,T_0003,risk,G_T_0003_risk_malicious,A_COMM_004,A_N_022,risk_judgment,10.9.21.49,C2,malicious,0.902,1,1,2026-06-28T09:40:55+08:00
C_00030,30,M_00030,T_0003,risk,G_T_0003_risk_malicious,A_WATCH_004,A_N_022,risk_judgment,10.9.21.49,C2,malicious,0.76,1,1,2026-06-28T09:40:55+08:00
C_00031,31,M_00031,T_0004,risk,G_T_0004_risk_benign,A_N_025,A_N_028,risk_judgment,10.12.28.62,benign_service,benign,0.941,1,1,2026-06-28T09:40:55+08:00
C_00032,32,M_00032,T_0004,risk,G_T_0004_risk_benign,A_N_026,A_N_028,risk_judgment,10.12.28.62,benign_service,benign,0.843,1,1,2026-06-28T09:40:55+08:00
C_00033,33,M_00033,T_0004,risk,G_T_0004_risk_benign,A_N_028,A_N_027,verification,10.12.28.62,benign_service,benign,0.881,1,1,2026-06-28T09:40:55+08:00
C_00034,34,M_00034,T_0004,action,G_T_0004_action_benign,A_N_027,A_N_028,action_recommendation,10.12.28.62,do_not_block,benign,0.842,1,1,2026-06-28T09:40:55+08:00
C_00035,35,M_00035,T_0004,risk,G_T_0004_risk_malicious,A_POISON_002,A_N_028,risk_judgment,10.12.28.62,C2,malicious,0.934,1,1,2026-06-28T09:40:55+08:00
C_00036,36,M_00036,T_0004,risk,G_T_0004_risk_malicious,A_POISON_006,A_N_027,risk_judgment,10.12.28.62,C2,malicious,0.883,1,1,2026-06-28T09:40:55+08:00
C_00037,37,M_00037,T_0004,risk,G_T_0004_risk_malicious,A_BYZ_003,A_N_028,risk_judgment,10.12.28.62,C2,malicious,0.96,0,1,2026-06-28T09:40:56+08:00
C_00038,38,M_00038,T_0004,action,G_T_0004_action_malicious,A_BYZ_008,A_N_028,action_recommendation,10.12.28.62,block_ip,malicious,0.919,1,1,2026-06-28T09:40:56+08:00
C_00039,39,M_00039,T_0004,risk,G_T_0004_risk_malicious,A_COMM_001,A_N_028,risk_judgment,10.12.28.62,C2,malicious,0.766,0,1,2026-06-28T09:40:56+08:00
C_00040,40,M_00040,T_0004,risk,G_T_0004_risk_benign,A_WATCH_001,A_N_028,risk_judgment,10.12.28.62,benign_service,benign,0.699,1,1,2026-06-28T09:40:56+08:00
C_00041,41,M_00041,T_0005,risk,G_T_0005_risk_malicious,A_N_031,A_N_004,risk_judgment,10.15.35.75,C2,malicious,0.831,1,1,2026-06-28T09:40:56+08:00
C_00042,42,M_00042,T_0005,risk,G_T_0005_risk_malicious,A_N_032,A_N_004,risk_judgment,10.15.35.75,C2,malicious,0.845,1,1,2026-06-28T09:40:56+08:00
C_00043,43,M_00043,T_0005,risk,G_T_0005_risk_malicious,A_N_004,A_N_003,verification,10.15.35.75,C2,malicious,0.937,1,1,2026-06-28T09:40:56+08:00
C_00044,44,M_00044,T_0005,action,G_T_0005_action_malicious,A_N_003,A_N_004,action_recommendation,10.15.35.75,block_ip,malicious,0.868,1,1,2026-06-28T09:40:56+08:00
C_00045,45,M_00045,T_0005,risk,G_T_0005_risk_benign,A_POISON_004,A_N_004,risk_judgment,10.15.35.75,benign_service,benign,0.933,1,1,2026-06-28T09:40:56+08:00
C_00046,46,M_00046,T_0005,risk,G_T_0005_risk_benign,A_POISON_001,A_N_003,risk_judgment,10.15.35.75,benign_service,benign,0.866,1,1,2026-06-28T09:40:57+08:00
C_00047,47,M_00047,T_0005,risk,G_T_0005_risk_benign,A_BYZ_007,A_N_004,risk_judgment,10.15.35.75,benign_service,benign,0.917,1,1,2026-06-28T09:40:57+08:00
C_00048,48,M_00048,T_0005,action,G_T_0005_action_benign,A_BYZ_002,A_N_004,action_recommendation,10.15.35.75,do_not_block,benign,0.936,0,1,2026-06-28T09:40:57+08:00
C_00049,49,M_00049,T_0005,risk,G_T_0005_risk_benign,A_COMM_002,A_N_004,risk_judgment,10.15.35.75,benign_service,benign,0.876,1,1,2026-06-28T09:40:57+08:00
C_00050,50,M_00050,T_0005,risk,G_T_0005_risk_benign,A_WATCH_002,A_N_004,risk_judgment,10.15.35.75,benign_service,benign,0.778,0,1,2026-06-28T09:40:57+08:00
C_00051,51,M_00051,T_0006,risk,G_T_0006_risk_benign,A_N_001,A_N_010,risk_judgment,10.18.42.88,benign_service,benign,0.944,1,1,2026-06-28T09:40:57+08:00
C_00052,52,M_00052,T_0006,risk,G_T_0006_risk_benign,A_N_002,A_N_010,risk_judgment,10.18.42.88,benign_service,benign,0.825,1,1,2026-06-28T09:40:57+08:00
C_00053,53,M_00053,T_0006,risk,G_T_0006_risk_benign,A_N_010,A_N_009,verification,10.18.42.88,benign_service,benign,0.872,1,1,2026-06-28T09:40:57+08:00
C_00054,54,M_00054,T_0006,action,G_T_0006_action_benign,A_N_009,A_N_010,action_recommendation,10.18.42.88,do_not_block,benign,0.754,1,1,2026-06-28T09:40:57+08:00
C_00055,55,M_00055,T_0006,risk,G_T_0006_risk_malicious,A_POISON_001,A_N_010,risk_judgment,10.18.42.88,C2,malicious,0.936,1,1,2026-06-28T09:40:58+08:00
C_00056,56,M_00056,T_0006,risk,G_T_0006_risk_malicious,A_POISON_002,A_N_009,risk_judgment,10.18.42.88,C2,malicious,0.886,1,1,2026-06-28T09:40:58+08:00
C_00057,57,M_00057,T_0006,risk,G_T_0006_risk_malicious,A_BYZ_001,A_N_010,risk_judgment,10.18.42.88,C2,malicious,0.958,0,1,2026-06-28T09:40:58+08:00
C_00058,58,M_00058,T_0006,action,G_T_0006_action_malicious,A_BYZ_004,A_N_010,action_recommendation,10.18.42.88,block_ip,malicious,0.887,1,1,2026-06-28T09:40:58+08:00
C_00059,59,M_00059,T_0006,risk,G_T_0006_risk_malicious,A_COMM_003,A_N_010,risk_judgment,10.18.42.88,C2,malicious,0.837,0,1,2026-06-28T09:40:58+08:00
C_00060,60,M_00060,T_0006,risk,G_T_0006_risk_benign,A_WATCH_003,A_N_010,risk_judgment,10.18.42.88,benign_service,benign,0.651,1,1,2026-06-28T09:40:58+08:00
C_00061,61,M_00061,T_0007,risk,G_T_0007_risk_malicious,A_N_007,A_N_016,risk_judgment,10.21.49.101,C2,malicious,0.844,1,1,2026-06-28T09:40:59+08:00
C_00062,62,M_00062,T_0007,risk,G_T_0007_risk_malicious,A_N_008,A_N_016,risk_judgment,10.21.49.101,C2,malicious,0.85,1,1,2026-06-28T09:40:59+08:00
C_00063,63,M_00063,T_0007,risk,G_T_0007_risk_malicious,A_N_016,A_N_015,verification,10.21.49.101,C2,malicious,0.868,1,1,2026-06-28T09:40:59+08:00
