claim_group_id,task_id,subject,group_kind,label,claim_count,agent_count,ess,q_bar,independence,core_trust,consensus_score,raw_score,challenge_approve,high_risk_action,high_risk_constraint_pass,decision,agent_weights,conflicts_with
G_T_0001_action_benign,T_0001,10.3.7.23,action,benign,1,1,0.904029,0.91405,0.8755,96.0,1.0,0.72345,1,False,True,accepted,"[{""agent_id"": ""A_N_009"", ""base"": 0.8544, ""bss"": 0.0, ""weight"": 0.6181}]","[""G_T_0001_action_malicious""]"
G_T_0001_action_malicious,T_0001,10.3.7.23,action,malicious,1,1,0.834713,0.9103,0.8105,94.0,0.855346,0.615849,0,True,False,rejected,"[{""agent_id"": ""A_BYZ_008"", ""base"": 0.768, ""bss"": 0.0, ""weight"": 0.473}]","[""G_T_0001_action_benign""]"
G_T_0001_risk_benign,T_0001,10.3.7.23,risk,benign,4,4,0.865563,0.794233,0.788333,96.0,0.729913,0.525537,1,False,True,challenged,"[{""agent_id"": ""A_N_007"", ""base"": 0.89, ""bss"": 0.0, ""weight"": 0.4823}, {""agent_id"": ""A_N_008"", ""base"": 0.9373, ""bss"": 0.0, ""weight"": 0.508}, {""agent_id"": ""A_BYZ_003"", ""base"": 0.83, ""bss"": 0.0, ""weight"": 0.4498}, {""agent_id"": ""A_COMM_002"", ""base"": 0.82, ""bss"": 0.1284, ""weight"": 0.3873}]","[""G_T_0001_risk_malicious""]"
G_T_0001_risk_malicious,T_0001,10.3.7.23,risk,malicious,11,11,0.80764,0.72545,0.6685,94.0,0.528832,0.380759,0,False,True,challenged,"[{""agent_id"": ""A_POISON_002"", ""base"": 0.76, ""bss"": 0.116854, ""weight"": 0.2629}, {""agent_id"": ""A_POISON_003"", ""base"": 0.8755, ""bss"": 0.10125, ""weight"": 0.3082}, {""agent_id"": ""A_WATCH_002"", ""base"": 0.7968, ""bss"": 0.0, ""weight"": 0.3121}, {""agent_id"": ""A_COL_002"", ""base"": 0.93, ""bss"": 0.012692, ""weight"": 0.3596}, {""agent_id"": ""A_COL_003"", ""base"": 0.8652, ""bss"": 0.012571, ""weight"": 0.3346}, {""agent_id"": ""A_COL_004"", ""base"": 0.87, ""bss"": 0.014808, ""weight"": 0.3357}, {""agent_id"": ""A_COL_005"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.3271}, {""agent_id"": ""A_COL_006"", ""base"": 0.7644, ""bss"": 0.014259, ""weight"": 0.2951}, {""agent_id"": ""A_COL_007"", ""base"": 0.84, ""bss"": 0.012222, ""weight"": 0.325}, {""agent_id"": ""A_COL_008"", ""base"": 0.8858, ""bss"": 0.013, ""weight"": 0.3424}, {""agent_id"": ""A_COL_009"", ""base"": 0.9, ""bss"": 0.015714, ""weight"": 0.347}]","[""G_T_0001_risk_benign""]"
G_T_0002_action_malicious,T_0002,10.6.14.36,action,malicious,1,1,0.837514,0.90615,0.8845,92.0,0.932304,0.671259,1,True,True,accepted,"[{""agent_id"": ""A_N_015"", ""base"": 0.9216, ""bss"": 0.0, ""weight"": 0.6186}]","[""G_T_0002_action_benign""]"
G_T_0002_action_benign,T_0002,10.6.14.36,action,benign,2,2,0.823483,0.93785,0.82,98.0,0.879568,0.633289,0,False,True,challenged,"[{""agent_id"": ""A_BYZ_010"", ""base"": 0.816, ""bss"": 0.0, ""weight"": 0.5168}, {""agent_id"": ""A_COL_005"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.5289}]","[""G_T_0002_action_malicious""]"
G_T_0002_risk_malicious,T_0002,10.6.14.36,risk,malicious,2,2,0.786502,0.781,0.692,88.0,0.590371,0.425067,1,False,True,challenged,"[{""agent_id"": ""A_N_013"", ""base"": 0.88, ""bss"": 0.0, ""weight"": 0.3741}, {""agent_id"": ""A_WATCH_003"", ""base"": 0.6636, ""bss"": 0.0, ""weight"": 0.2821}]","[""G_T_0002_risk_benign""]"
G_T_0002_risk_benign,T_0002,10.6.14.36,risk,benign,13,12,0.745499,0.802667,0.703,98.0,0.568018,0.408973,0,False,True,challenged,"[{""agent_id"": ""A_N_014"", ""base"": 0.9373, ""bss"": 0.0, ""weight"": 0.3943}, {""agent_id"": ""A_POISON_004"", ""base"": 0.78, ""bss"": 0.089701, ""weight"": 0.2987}, {""agent_id"": ""A_POISON_004"", ""base"": 0.78, ""bss"": 0.089701, ""weight"": 0.2987}, {""agent_id"": ""A_BYZ_007"", ""base"": 0.84, ""bss"": 0.0, ""weight"": 0.3534}, {""agent_id"": ""A_COMM_003"", ""base"": 0.8464, ""bss"": 0.110267, ""weight"": 0.3168}, {""agent_id"": ""A_COL_003"", ""base"": 0.8652, ""bss"": 0.012571, ""weight"": 0.3594}, {""agent_id"": ""A_COL_004"", ""base"": 0.87, ""bss"": 0.014808, ""weight"": 0.3606}, {""agent_id"": ""A_COL_005"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.3513}, {""agent_id"": ""A_COL_006"", ""base"": 0.7644, ""bss"": 0.014259, ""weight"": 0.317}, {""agent_id"": ""A_COL_007"", ""base"": 0.84, ""bss"": 0.012222, ""weight"": 0.349}, {""agent_id"": ""A_COL_008"", ""base"": 0.8858, ""bss"": 0.013, ""weight"": 0.3678}, {""agent_id"": ""A_COL_009"", ""base"": 0.9, ""bss"": 0.015714, ""weight"": 0.3727}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.3311}]","[""G_T_0002_risk_malicious""]"
G_T_0003_action_malicious,T_0003,10.9.21.49,action,malicious,1,1,0.881141,0.9128,0.7855,97.0,0.877475,0.631782,0,True,False,rejected,"[{""agent_id"": ""A_STRAT_007"", ""base"": 0.8928, ""bss"": 0.0, ""weight"": 0.5641}]","[""G_T_0003_action_benign""]"
G_T_0003_action_benign,T_0003,10.9.21.49,action,benign,2,2,0.849288,0.8047,0.802,97.0,0.761256,0.548104,1,False,True,challenged,"[{""agent_id"": ""A_N_021"", ""base"": 0.912, ""bss"": 0.0, ""weight"": 0.4999}, {""agent_id"": ""A_BYZ_012"", ""base"": 0.7296, ""bss"": 0.0, ""weight"": 0.3999}]","[""G_T_0003_action_malicious""]"
G_T_0003_risk_benign,T_0003,10.9.21.49,risk,benign,5,5,0.903172,0.8047,0.802,97.0,0.793088,0.571023,1,False,True,accepted,"[{""agent_id"": ""A_N_019"", ""base"": 0.95, ""bss"": 0.0, ""weight"": 0.5537}, {""agent_id"": ""A_N_020"", ""base"": 0.9888, ""bss"": 0.0, ""weight"": 0.5764}, {""agent_id"": ""A_BYZ_009"", ""base"": 0.72, ""bss"": 0.0, ""weight"": 0.4197}, {""agent_id"": ""A_COMM_004"", ""base"": 0.85, ""bss"": 0.105333, ""weight"": 0.4433}, {""agent_id"": ""A_STRAT_007"", ""base"": 0.8928, ""bss"": 0.0, ""weight"": 0.5204}]","[""G_T_0003_risk_malicious""]"
G_T_0003_risk_malicious,T_0003,10.9.21.49,risk,malicious,11,11,0.8396,0.7579,0.634,97.0,0.54695,0.393804,0,False,True,challenged,"[{""agent_id"": ""A_POISON_007"", ""base"": 0.8, ""bss"": 0.100091, ""weight"": 0.2904}, {""agent_id"": ""A_POISON_005"", ""base"": 0.6888, ""bss"": 0.09536, ""weight"": 0.2514}, {""agent_id"": ""A_WATCH_004"", ""base"": 0.768, ""bss"": 0.0, ""weight"": 0.3098}, {""agent_id"": ""A_COL_004"", ""base"": 0.87, ""bss"": 0.014808, ""weight"": 0.3458}, {""agent_id"": ""A_COL_005"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.3369}, {""agent_id"": ""A_COL_006"", ""base"": 0.7644, ""bss"": 0.014259, ""weight"": 0.304}, {""agent_id"": ""A_COL_007"", ""base"": 0.84, ""bss"": 0.012222, ""weight"": 0.3347}, {""agent_id"": ""A_COL_008"", ""base"": 0.8858, ""bss"": 0.013, ""weight"": 0.3527}, {""agent_id"": ""A_COL_009"", ""base"": 0.9, ""bss"": 0.015714, ""weight"": 0.3574}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.3176}, {""agent_id"": ""A_COL_011"", ""base"": 0.9373, ""bss"": 0.01198, ""weight"": 0.3736}]","[""G_T_0003_risk_benign""]"
G_T_0004_action_malicious,T_0004,10.12.28.62,action,malicious,1,1,0.857698,0.88915,0.8175,92.0,0.865894,0.623444,0,True,False,rejected,"[{""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.4908}]","[""G_T_0004_action_benign""]"
G_T_0004_action_benign,T_0004,10.12.28.62,action,benign,2,2,0.760552,0.790233,0.747,86.0,0.623552,0.448957,1,False,True,challenged,"[{""agent_id"": ""A_N_027"", ""base"": 0.8832, ""bss"": 0.0, ""weight"": 0.3965}, {""agent_id"": ""A_BYZ_002"", ""base"": 0.7968, ""bss"": 0.0, ""weight"": 0.3577}]","[""G_T_0004_action_malicious""]"
G_T_0004_risk_benign,T_0004,10.12.28.62,risk,benign,3,3,0.833294,0.7781,0.6965,86.0,0.602132,0.433535,1,False,True,challenged,"[{""agent_id"": ""A_N_025"", ""base"": 0.89, ""bss"": 0.0, ""weight"": 0.4019}, {""agent_id"": ""A_COMM_001"", ""base"": 0.8188, ""bss"": 0.114267, ""weight"": 0.3275}, {""agent_id"": ""A_WATCH_005"", ""base"": 0.63, ""bss"": 0.0, ""weight"": 0.2845}]","[""G_T_0004_risk_malicious""]"
G_T_0004_risk_malicious,T_0004,10.12.28.62,risk,malicious,12,12,0.81922,0.74752,0.6622,92.0,0.550621,0.396447,0,False,True,challenged,"[{""agent_id"": ""A_N_026"", ""base"": 0.927, ""bss"": 0.0, ""weight"": 0.3759}, {""agent_id"": ""A_POISON_008"", ""base"": 0.82, ""bss"": 0.095836, ""weight"": 0.3007}, {""agent_id"": ""A_POISON_006"", ""base"": 0.7488, ""bss"": 0.10125, ""weight"": 0.2729}, {""agent_id"": ""A_BYZ_011"", ""base"": 0.74, ""bss"": 0.0, ""weight"": 0.3001}, {""agent_id"": ""A_COL_005"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.3387}, {""agent_id"": ""A_COL_006"", ""base"": 0.7644, ""bss"": 0.014259, ""weight"": 0.3056}, {""agent_id"": ""A_COL_007"", ""base"": 0.84, ""bss"": 0.012222, ""weight"": 0.3365}, {""agent_id"": ""A_COL_008"", ""base"": 0.8858, ""bss"": 0.013, ""weight"": 0.3545}, {""agent_id"": ""A_COL_009"", ""base"": 0.9, ""bss"": 0.015714, ""weight"": 0.3592}, {""agent_id"": ""A_COL_010"", ""base"": 0.7872, ""bss"": 0.0, ""weight"": 0.3192}, {""agent_id"": ""A_COL_011"", ""base"": 0.9373, ""bss"": 0.01198, ""weight"": 0.3755}, {""agent_id"": ""A_COL_012"", ""base"": 0.9, ""bss"": 0.014667, ""weight"": 0.3596}]","[""G_T_0004_risk_benign""]"
G_T_0005_action_malicious,T_0005,10.15.35.75,action,malicious,1,1,0.868088,0.88675,0.903,92.0,0.965429,0.695109,1,True,True,accepted,"[{""agent_id"": ""A_N_003"", ""base"": 0.8352, ""bss"": 0.0, ""weight"": 0.5806}]","[""G_T_0005_action_benign""]"
G_T_0005_action_benign,T_0005,10.15.35.75,action,benign,1,1,0.850215,0.917,0.8865,94.0,0.959941,0.691157,0,False,True,challenged,"[{""agent_id"": ""A_BYZ_004"", ""base"": 0.7968, ""bss"": 0.0, ""weight"": 0.5507}]","[""G_T_0005_action_malicious""]"
G_T_0005_risk_malicious,T_0005,10.15.35.75,risk,malicious,3,3,0.859333,0.88675,0.903,92.0,0.917091,0.660305,1,False,True,accepted,"[{""agent_id"": ""A_N_001"", ""base"": 0.87, ""bss"": 0.0, ""weight"": 0.5986}, {""agent_id"": ""A_N_002"", ""base"": 0.9167, ""bss"": 0.0, ""weight"": 0.6308}, {""agent_id"": ""A_COMM_002"", ""base"": 0.82, ""bss"": 0.1284, ""weight"": 0.4918}]","[""G_T_0005_risk_benign""]"
