scenario,method,TP,FP,TN,FN,Precision,Recall,F1,FPR,sample_count,chunk_count
clean,dualrisk,0,13,4,0,0.0,,,0.7647058823529411,11,17
clean,dualrisk_cluster,0,13,4,0,0.0,,,0.7647058823529411,11,17
clean,dualrisk_causal,0,0,17,0,,,,0.0,11,17
clean,full_method,0,0,17,0,,,,0.0,11,17
cluster_poison,dualrisk,0,2,0,4,0.0,0.0,,1.0,2,6
cluster_poison,dualrisk_cluster,0,2,0,4,0.0,0.0,,1.0,2,6
cluster_poison,dualrisk_causal,0,0,2,4,,0.0,,0.0,2,6
cluster_poison,full_method,0,0,2,4,,0.0,,0.0,2,6
hallucination,dualrisk,0,6,4,0,0.0,,,0.6,6,10
hallucination,dualrisk_cluster,0,6,4,0,0.0,,,0.6,6,10
hallucination,dualrisk_causal,0,3,7,0,0.0,,,0.3,6,10
hallucination,full_method,0,3,7,0,0.0,,,0.3,6,10
prompt_infection,dualrisk,6,0,0,2,1.0,0.75,0.8571428571428571,,6,8
prompt_infection,dualrisk_cluster,6,0,0,2,1.0,0.75,0.8571428571428571,,6,8
prompt_infection,dualrisk_causal,1,0,0,7,1.0,0.125,0.2222222222222222,,6,8
prompt_infection,full_method,1,0,0,7,1.0,0.125,0.2222222222222222,,6,8
single_poison,dualrisk,0,2,0,2,0.0,0.0,,1.0,2,4
single_poison,dualrisk_cluster,0,2,0,2,0.0,0.0,,1.0,2,4
single_poison,dualrisk_causal,0,0,2,2,,0.0,,0.0,2,4
single_poison,full_method,0,0,2,2,,0.0,,0.0,2,4
overall,dualrisk,6,23,8,8,0.20689655172413793,0.42857142857142855,0.2790697674418604,0.7419354838709677,27,45
overall,dualrisk_cluster,6,23,8,8,0.20689655172413793,0.42857142857142855,0.2790697674418604,0.7419354838709677,27,45
overall,dualrisk_causal,1,3,28,13,0.25,0.07142857142857142,0.11111111111111112,0.0967741935483871,27,45
overall,full_method,1,3,28,13,0.25,0.07142857142857142,0.11111111111111112,0.0967741935483871,27,45
