threshold,precision,recall,f1,fpr,tp,fp,fn,tn
0.1,0.4444444444444444,1.0,0.6153846153846153,1.0,4,5,0,0
0.15,0.4444444444444444,1.0,0.6153846153846153,1.0,4,5,0,0
0.2,0.4444444444444444,1.0,0.6153846153846153,1.0,4,5,0,0
0.25,0.5,1.0,0.6666666666666666,0.8,4,4,0,1
0.3,0.5,1.0,0.6666666666666666,0.8,4,4,0,1
0.35,0.5,1.0,0.6666666666666666,0.8,4,4,0,1
0.4,0.5714285714285714,1.0,0.7272727272727273,0.6,4,3,0,2
0.45,0.6666666666666666,1.0,0.8,0.4,4,2,0,3
0.5,0.6666666666666666,1.0,0.8,0.4,4,2,0,3
0.55,0.6666666666666666,1.0,0.8,0.4,4,2,0,3
0.6,0.8,1.0,0.888888888888889,0.2,4,1,0,4
0.65,0.6666666666666666,0.5,0.5714285714285715,0.2,2,1,2,4
0.7,0.6666666666666666,0.5,0.5714285714285715,0.2,2,1,2,4
0.75,1.0,0.25,0.4,0.0,1,0,3,5
0.8,1.0,0.25,0.4,0.0,1,0,3,5
0.85,1.0,0.25,0.4,0.0,1,0,3,5
0.9,0.0,0.0,0.0,0.0,0,0,4,5
