claim_id,label,member_count,source_count,ncluster_ras,cluster_gis,source_anomaly,cluster_dual_risk
doc_21366394,clean,1,1,0.7999999999999999,0.7591660069319532,0.054,0.3200643885225115
claim_apoe4 expression in ipsc derived neurons increases alphabeta production and tau phosphorylation ,poison,6,2,0.39999999999999997,0.8532463786163412,0.7549999999999999,0.29948947889433575
doc_1568684,clean,1,1,0.7999999999999999,0.49024821330805907,0.054,0.2066886467306777
doc_3863543,clean,1,1,1.0,0.3802790231100353,0.054,0.2004070451789886
claim_aldh1 expression is associated with poorer prognosis in breast cancer,poison,3,2,0.39999999999999997,0.5436534616941728,0.6883333333333332,0.18357365223206568
doc_32556431,clean,1,1,0.7999999999999999,0.42073363443922307,0.054,0.17738130027957644
doc_4709641,clean,1,1,0.6,0.5606485013884099,0.054,0.17727705613901523
doc_14924526,clean,1,1,0.39999999999999997,0.8174244663278042,0.054,0.1723130775019011
doc_2140497,clean,1,1,0.7999999999999999,0.3849654218451966,0.054,0.16230142184993487
doc_25973484,clean,1,1,0.7999999999999999,0.3814145707523178,0.054,0.1608043830291772
claim_aldh1 expression is associated with better breast cancer outcomes,poison,3,2,0.39999999999999997,0.4743188925207388,0.6883333333333332,0.16016167937450276
claim_1 000 genomes project enables mapping of genetic sequence variation consisting of rare variants ,poison,3,2,0.19999999999999998,0.8949372939518961,0.6883333333333332,0.15109524646221179
doc_26016929,clean,1,1,0.39999999999999997,0.6961213804371083,0.054,0.14674238699614242
doc_10536636,clean,1,1,0.39999999999999997,0.6817087249176077,0.054,0.1437041992126317
claim_active h pylori urease has a polymeric structure that compromises two subunits urea and ureb,poison,3,2,0.19999999999999998,0.8162100258312829,0.6883333333333332,0.13780345936118157
claim_a high microerythrocyte count raises vulnerability to severe anemia in homozygous alpha thalasse,poison,3,2,0.19999999999999998,0.8055202292844132,0.6883333333333332,0.13599866537751842
doc_10582939,clean,1,1,0.6,0.4286494131219166,0.054,0.13553894442915004
doc_4388470,clean,1,1,0.6,0.41755571641861194,0.054,0.1320311175315651
