query_index,poison_ratio_after_poisoning,poison_ratio_after_correction,retrieval_shift_after_poisoning,retrieval_shift_after_correction,answer_deviation_after_poisoning,answer_deviation_after_correction,poisoned_overlap_count,corrected_overlap_count
0,0.375,0.0,0.375,0.0,0.2567948719008061,8.881784197001252e-16,5,8
1,0.375,0.0,0.375,0.0,0.09497542806648052,0.0,5,8
2,0.375,0.0,0.375,0.0,0.29370106538540663,4.440892098500626e-16,5,8
3,0.375,0.0,0.375,0.0,0.27691088512099715,0.0,5,8
4,0.375,0.0,0.375,0.0,0.1906691728606007,0.0,5,8
5,0.375,0.0,0.375,0.0,0.09545883296657065,0.0,5,8
6,0.375,0.0,0.375,0.0,0.184278497220832,0.0,5,8
7,0.375,0.0,0.375,0.0,0.2794292810575735,0.0,5,8
8,0.375,0.0,0.375,0.0,0.3736903643710413,0.0,5,8
9,0.75,0.0,0.75,0.0,0.23697971389599148,0.0,2,8
10,0.75,0.0,0.75,0.0,0.2313474626602834,4.440892098500626e-16,2,8
11,0.375,0.0,0.375,0.0,0.14933726249295665,0.0,5,8
12,0.75,0.0,0.75,0.0,0.12482314738260536,0.0,2,8
13,0.75,0.0,0.75,0.0,0.11970933299093611,0.0,2,8
14,0.375,0.0,0.375,0.0,0.2903958737251936,1.4432899320127035e-15,5,8
15,0.375,0.0,0.375,0.0,0.18777759394940707,8.881784197001252e-16,5,8
16,0.375,0.0,0.375,0.0,0.12948808120199873,0.0,5,8
17,0.375,0.0,0.375,0.0,0.23882380724337593,3.3306690738754696e-16,5,8
18,0.375,0.0,0.375,0.0,0.1639638644200594,2.220446049250313e-16,5,8
19,0.375,0.0,0.375,0.0,0.19482679863822694,3.3306690738754696e-16,5,8
20,0.375,0.0,0.375,0.0,0.13943175248805173,0.0,5,8
21,0.375,0.0,0.375,0.0,0.1826192055804965,2.220446049250313e-16,5,8
22,0.375,0.0,0.375,0.0,0.1361293486262546,4.440892098500626e-15,5,8
23,0.375,0.0,0.375,0.0,0.16236275686989432,0.0,5,8
24,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8,8
25,0.0,0.0,0.0,0.0,1.3322676295501878e-15,1.3322676295501878e-15,8,8
26,0.0,0.0,0.0,0.0,1.0547118733938987e-14,1.0547118733938987e-14,8,8
27,0.0,0.0,0.0,0.0,2.3314683517128287e-15,2.3314683517128287e-15,8,8
28,0.0,0.0,0.0,0.0,0.0,0.0,8,8
29,0.0,0.0,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,8,8
30,0.0,0.0,0.0,0.0,6.661338147750939e-16,6.661338147750939e-16,8,8
31,0.0,0.0,0.0,0.0,1.4432899320127035e-15,1.4432899320127035e-15,8,8
32,0.0,0.0,0.0,0.0,0.0,0.0,8,8
33,0.0,0.0,0.0,0.0,0.0,0.0,8,8
34,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8,8
35,0.0,0.0,0.0,0.0,5.551115123125783e-16,5.551115123125783e-16,8,8
36,0.0,0.0,0.0,0.0,0.0,0.0,8,8
37,0.0,0.0,0.0,0.0,0.0,0.0,8,8
38,0.0,0.0,0.0,0.0,9.992007221626409e-16,9.992007221626409e-16,8,8
39,0.0,0.0,0.0,0.0,7.771561172376096e-16,7.771561172376096e-16,8,8
40,0.0,0.0,0.0,0.0,0.0,0.0,8,8
41,0.0,0.0,0.0,0.0,5.551115123125783e-16,5.551115123125783e-16,8,8
42,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8,8
43,0.0,0.0,0.0,0.0,1.1102230246251565e-16,1.1102230246251565e-16,8,8
44,0.0,0.0,0.0,0.0,0.0,0.0,8,8
45,0.0,0.0,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,8,8
46,0.0,0.0,0.0,0.0,0.0,0.0,8,8
47,0.0,0.0,0.0,0.0,0.0,0.0,8,8
48,0.0,0.0,0.0,0.0,0.0,0.0,8,8
49,0.0,0.0,0.0,0.0,0.0,0.0,8,8
50,0.0,0.0,0.0,0.0,3.3306690738754696e-16,3.3306690738754696e-16,8,8
51,0.0,0.0,0.0,0.0,1.2212453270876722e-15,1.2212453270876722e-15,8,8
52,0.0,0.0,0.0,0.0,1.2212453270876722e-15,1.2212453270876722e-15,8,8
53,0.0,0.0,0.0,0.0,0.0,0.0,8,8
54,0.0,0.0,0.0,0.0,5.551115123125783e-16,5.551115123125783e-16,8,8
55,0.0,0.0,0.0,0.0,2.220446049250313e-16,2.220446049250313e-16,8,8
56,0.0,0.0,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,8,8
57,0.0,0.0,0.0,0.0,0.0,0.0,8,8
58,0.0,0.0,0.0,0.0,2.1094237467877974e-15,2.1094237467877974e-15,8,8
59,0.0,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,8,8
60,0.0,0.0,0.0,0.0,0.0,0.0,8,8
61,0.0,0.0,0.0,0.0,9.992007221626409e-16,9.992007221626409e-16,8,8
62,0.0,0.0,0.0,0.0,1.5543122344752192e-15,1.5543122344752192e-15,8,8
